,Unnamed: 0,Name,Id,transf_Name,Text,Classes,Co_auth
0,0,Cyril Lahuec,17541,cyrillahuec,Assessing the techno-economic impact of low-temperature subnets in conventional district heating networks,0,
1,1,Alexandre Dolgui,30378,alexandredolgui,Reversals of a large-scale field generated over a turbulent background,5,65726
2,2,Sophie Bretesch‚,53912,sophiebretesche,Automatically Summarizing all the Problems of a Rule-Based SystemCoqTL: A Coq DSL for Rule-Based Model TransformationNeoEMF: A Multi-database Model Persistence Framework for Very Large ModelsReactive Model Transformation with ATLSlicing ATL Model Transformations for Scalable Deductive Verification and Fault LocalizationDistributing Relational Model Transformation on MapReduceSource-Code Level Regression Test Selection: the Model-Driven Way,0,
3,3,Thibault de Swarte,55086,thibaultdeswarte,Assessing the feasibility of using the heat demand-outdoor temperature function for a long-term district heat demand forecast,0,
4,4,Romain Billot,59488,romainbillot,Atomic Read/Write Memory in Signature-Free Byzantine Asynchronous Message-Passing Systems,5,
5,5,Yannis Haralambous,62300,yannisharalambous,Modeling hydrogen diffusion in hybrid activated carbon-MIL-101(Cr) considering temperature variations and surface loading changesHydrogen adsorption and kinetics in MIL-101(Cr) and hybrid activated carbon-MIL-101(Cr) materials,0,"896137,896137"
6,6,Philippe Lenca,65458,philippelenca,High sensitivity optical biosensor based on polymer materials and using the Vernier effectPorous silicon micro-resonator implemented by standard photolithography process for sensing application,0,738665
7,7,Sorin Moga,65726,sorinmoga,Reversals of a large-scale field generated over a turbulent background,0,30378
8,8,John Puentes,66545,johnpuentes,Microstructured electrodes supported on serpentine interconnects for stretchable electronics,0,465196
9,9,Alexandre Khaldi,67724,alexandrekhaldi,Near-Field diffraction of spin waves,0,
10,10,Emmanuel Daniel,68093,emmanueldaniel,Thermal control of the magnon-photon coupling in a notch filter coupled to a yttrium iron garnet/platinum system,0,450445
11,11,Camilla K„rnfelt,69294,camillakarnfelt,A Novel Approach for Generic Home Emergency Management and Remote Monitoring,0,1466156
12,12,Fabrice Seguin,70535,fabriceseguin,Coarse-to-Fine Registration of Airborne LiDAR Data and Optical Imagery on Urban ScenesSuper-Resolution-based Snake Model -- An Unsupervised Method for Large-Scale Building Extraction using Airborne LiDAR Data and Optical ImageMid-Infrared chemical sensing using a chalcogenide integrated transducer,0,1159813
13,13,Vincent Nourrit,71657,vincentnourrit,Learning Variational Data Assimilation Models and SolversData-driven Interpolation of Sea Level Anomalies using Analog Data AssimilationSpatio-Temporal Interpolation of Cloudy SST Fields Using Conditional Analog Data Assimilation,0,1466322
14,14,Isabel Amigo,74943,isabelamigo,Isolation in Cloud Computing Infrastructures: New Security ChallengesPutting the Next 500 VM Placement Algorithms to the Acid Test,0,100362
15,15,Loutfi Nuaymi,76131,loutfinuaymi,Preface: Special Issue on Homotopy Type Theory and Univalent FoundationsThe Fire TriangleModel structure on the universe of all types in interval type theoryThe Marriage of Univalence and ParametricityChemical foundations of distributed aspects,0,687957
16,16,Patrick Maill‚,76764,patrickmaille,Visual analytics for exploring topic long-term evolution and detecting weak signals in company targeted tweets,0,
17,17,Pierre Tandeo,80461,pierretandeo,Comparison of different TiO2 photocatalysts for the gas phase oxidation of volatile organic compoundsPhotocatalytic oxidation of volatile organic compounds present in airborne environment adjacent to sewage treatment plantsPhotocatalytic oxidation of methyl ethyl ketone over sol-gel and commercial TiO2 for the improvement of indoor airTiO2 coating types influencing the role of water vapor on the photocatalytic oxidation of methyl ethyl ketone in the gas phase,1,
18,18,Ren‚ Garello,81131,renegarello,Investigating Energy Consumption and Performance Trade-off for Interactive Cloud Application,0,439052
19,19,Jacques Simonin,83932,jacquessimonin,Performance of the hotelling T 2 control chart for compositional data in the presence of measurement errors,0,"149830,145840"
20,20,Didier Gueriot,88488,didiergueriot,"Feasibility of a multi-session EEG-fMRI Neurofeedback training ? preliminary results from a randomized controlled study in chronic stroke patientsRegional brain development analysis through registration using anisotropic similarity\, a constrained affine transformation",0,705816
21,21,Johanne Vincent,89131,johannevincent,Decentralized Semantic Learning Infrastructure for Lifelong Learning,0,
22,22,Mohamed Yagoubi,98470,mohamedyagoubi,Morphological self stabilization of locomotion gaits: illustration on a few examples from bio-inspired locomotionModeling of bird legIntroduction to the special issue on advances in vehicle routing and logistics optimization: heuristics,0,
23,23,Anatol Pashkevich,99675,anatolpashkevich,A truthful ascending auction mechanism for dynamic allocation of LSA spectrum blocksLicensed shared access for 5G: Which auction mechanism to choose?The Economics of CDNs and Their Impact on on Service FairnessWhat you pay is what you get?Auction mechanisms for Licensed Shared Access: reserve prices and revenue-fairness trade offsAuctions for online ad space among advertisers sensitive to both views and clicksNon-Neutrality of Search Engines and its Impact on InnovationReducing the energy footprint of cellular networks with delay-tolerant usersPerformance Analysis of Cellular Networks with Delay Tolerant UsersDecentralized demand response for temperature-constrained appliances,0,"1322213,883311"
24,24,Fabien Claveau,100242,fabienclaveau,Detection of Removed Objects in 3D Meshes Using Up-to-Date Images for Mixed-Reality Applications,0,311476
25,25,Philippe Chevrel,100362,philippechevrel,Isolation in Cloud Computing Infrastructures: New Security Challenges,0,74943
26,27,Lucas Drumetz,101573,lucasdrumetz,Precise proximal femur fracture classification for interactive training and surgical planning,1,11739398
27,28,Thierry Duval,102516,thierryduval,Help! I Need a Remote Guide in my Mixed Reality Collaborative EnvironmentProviding Plasticity and Redistribution for 3D User Interfaces using the D3PART Model,6,"1509217,1509217"
28,29,Gilles Coppin,112072,gillescoppin,"Bit-Plane Coding in Extractable Source Coding: Optimality\, Modeling\, and Application to 360ø DataPrecoded MIMO Systems with Non-Binary LDPC Codes and Many-to-One MappingJoint Semi-blind Channel Estimation and Finite Alphabet Signal Recovery Detection for large-scale MIMO systemsIterative Receivers for Large-Scale MIMO Systems With Finite-Alphabet Simplicity-Based Detection",0,"307181,11119427"
29,30,Mathieu Chollet,112933,mathieuchollet,"Global Constraint Catalog\, Volume II\, Time-Series Constraints",0,1373679
30,31,Johann Herault,119249,johannherault,Intra-ocular scatter and visual performances,0,
31,32,C‚dric Dumas,131189,cedricdumas,Workforce planning and assignment in mixed-model assembly lines as a factor of line reconfigurability: state of the art,8,
32,33,Charlotte Truchet,145840,charlottetruchet,An EWMA-type chart based on signed ranks with exact run length propertiesPerformance of the hotelling T 2 control chart for compositional data in the presence of measurement errorsThe effect of parameter estimation on phase II monitoring of poisson regression profiles,0,"149830,83932"
33,34,David Lemoine,149830,davidlemoine,Performance of the hotelling T 2 control chart for compositional data in the presence of measurement errors,0,"145840,83932"
34,35,Nathalie Bostel,154778,nathaliebostel,Towards a Sustainable Reconfigurable Manufacturing System (SRMS): Multi-Objective Based Approaches for Process Plan Generation ProblemA Heuristic-based Non-Linear Mixed Integer Approach for Optimizing Modularity and Integrability in a Sustainable Reconfigurable Manufacturing Environment,0,
35,36,Thomas Yeung,156922,thomasyeung,Modelling the complexity of plankton communities exploiting omics potential: From present challenges to an integrative pipeline,0,
36,37,Damien Chablat,157708,damienchablat,Linking Spatial and Temporal Dynamic of Bacterioplankton Communities With Ecological Strategies Across a Coastal Frontal Area,0,
37,38,Fr‚d‚ric Boyer,158313,fredericboyer,Optimal Design of Exponentially Weighted Moving Average (EWMA) Xbar Chart for the Mean with Estimated Process Parameters,0,
38,39,Massimo Tisi,164885,massimotisi,Solving the large-scale min-max K-rural postman problem for snow plowing,0,
39,40,Nicolas Tabareau,165626,nicolastabareau,Data Location Management Protocol for Object Stores in a Fog Computing Infrastructure,0,
40,41,Annie Blandin,166268,annieblandin,Chantier 3.0 Technical ArchitectureX2Rail?3 -- Deliverable 8.3 -- Protection profile for Adaptable Communication System (ACS) components,0,
41,42,Kevin Heggarty,168404,kevinheggarty,Three generalizations of the FOCUS constraint,0,
42,43,Georgios Papadopoulos,293920,georgiospapadopoulos,Two dimensional CCA via penalized matrix decomposition for structure preserved fMRI data analysis,0,
43,44,Alberto Blanc,300550,albertoblanc,A Novel Chaos-Based Symmetric Image Encryption Using Bit-Pair Level Process,0,701704
44,45,Claude Berrou,302498,claudeberrou,Green mobile networks for 5G and beyond,0,710786
45,46,Michel Jezequel,304788,micheljezequel,"Formal Modeling of mTOR Associated Biological Regulatory Network Reveals Novel Therapeutic Strategy for the Treatment of Cancer,Bioinformatique",0,
46,48,Ramesh Pyndiah,305928,rameshpyndiah,Panorama des innovations sociales num‚riques,0,
47,49,Dominique Pastor,307181,dominiquepastor,"Bit-Plane Coding in Extractable Source Coding: Optimality\, Modeling\, and Application to 360ø DataOptimal Reference Selection for Random Access in Predictive Coding SchemesIncremental Coding for Extractable Compression in the Context of Massive Random Access",0,"112072,393528"
48,50,Christophe Lohr,309757,christophelohr,A Diffusion-Based Method for Long-T2 Suppression in Steady State Sequences: Validation and Application for 3D-UTE Imaging,0,
49,51,J‚r“me Kerdreux,311476,jeromekerdreux,Detection of Removed Objects in 3D Meshes Using Up-to-Date Images for Mixed-Reality Applications,0,100242
50,52,Adrien Merlini,316701,adrienmerlini,The vehicle routing problem with cross-docking and resource constraints,0,
51,53,Matthieu Arzel,318273,matthieuarzel,Radio Access Mechanism for Massive Internet of Things Services Over White Spaces,0,
52,54,Remous-Aris Koutsiamanis,326883,remousariskoutsiamanis,Magnetic field dynamos and magnetically triggered flow instabilities,0,
53,55,Nadjib Brahimi,334851,nadjibbrahimi,"The Abstract Accountability Language: its Syntax\, Semantics and Tools",0,631995
54,56,Fabien Lehu‚d‚,356247,fabienlehuede,How is Gaze Influenced by Image Transformations? Dataset and ModelIntroduction to the Issue on Perception-Driven 360ø Video Processing,5,
55,57,Nicolas Beldiceanu,366291,nicolasbeldiceanu,Towards cough sound analysis using the Internet of things and deep learning for pulmonary disease predictionMultilabel classification of remote sensed satellite imagery,0,
56,59,Olivier P‚ton,393528,olivierpeton,Incremental Coding for Extractable Compression in the Context of Massive Random Access,0,307181
57,60,Gouenou Coatrieux,405005,gouenoucoatrieux,Development of an embedded UHF-RFID corrosion sensor for monitoring corrosion of steel in concrete,0,
58,61,Vincent Jaouen,416034,vincentjaouen,Reachability in parametric Interval Markov Chains using constraints,0,
59,64,Ronan Fablet,437886,ronanfablet,Model-based estimation of the state of vehicle automation as derived from the driver?s spontaneous visual strategies,1,
60,65,Sandrine Vaton,439052,sandrinevaton,CoMe4ACloud: An End-to-End Framework for Autonomic Cloud SystemsMeasuring performances and footprint of blockchains with BCTMark: a case study on Ethereum smart contracts energy consumptionInvestigating Energy Consumption and Performance Trade-off for Interactive Cloud Application,0,81131
61,66,Thierry Chonavel,439065,thierrychonavel,quipe ® Decision Aid and Information Discovery ¯ (DECIDE),0,11460355
62,67,Roger Waldeck,448027,rogerwaldeck,Beta and Theta Oscillations Correlate With Subjective Time During Musical Improvisation in Ecological and Controlled Settings: A Single Subject Study,0,
63,68,Elsa Dupraz,448305,elsadupraz,Improved Performance Measures for Video Quality Assessment Algorithms Using Training and Validation SetsExploring the effects of subjective methodology on assessing visual discomfort in immersive multimediaProof-of-concept: role of generic content characteristics in optimizing video encoders,0,"1365093,1365093"
64,69,Fr‚d‚ric Guilloud,450445,fredericguilloud,Thermal control of the magnon-photon coupling in a notch filter coupled to a yttrium iron garnet/platinum system,0,68093
65,70,Pol-Bernard Gossiaux,451681,polbernardgossiaux,Shadow: Exploiting the Power of Choice for Efficient Shuffling in MapReduce,0,
66,71,Bernd Grambow,455668,berndgrambow,Fast Approximation Algorithms for the One-Warehouse Multi-Retailer Problem Under General Cost Structures and Capacity Constraints,0,711566
67,72,Inna Lyubareva,459685,innalyubareva,Understanding deep-water striation patterns and predicting the waveguide invariant as a distribution depending on range and depthPassive source depth discrimination in deep-water,0,
68,73,Giulia Lioi,461686,giulialioi,Information System Services Generation of Business Services Specification and Based on a System-of-Services Logical Architecture Pattern,0,467163
69,74,Vincent Gripon,461764,vincentgripon,Apprentissage constructiviste … base de systŠmes multiagents. Une application au problŠme complexe de la r‚gulation coop‚rative du trafic,2,
70,75,Fran‡ois Rousseau,465196,francoisrousseau,Microstructured electrodes supported on serpentine interconnects for stretchable electronics,0,66545
71,76,Nicolas Farrugia,467163,nicolasfarrugia,"Information System Services Generation of Business Services Specification and Based on a System-of-Services Logical Architecture PatternAutomatized integration of a contextual model into a process with data variabilityUse of Suricata\, ElasticStack\, Neo4j and Linkurious for network defence",2,461686
72,77,Nicolas Montavont,467472,nicolasmontavont,A smart mobile cloud environment for modelling and simulation of mobile cloud applicationsDesign and Development of Business Rules Management System (BRMS) Using ATL and Eclipse Sirius,0,
73,78,Naly Rakoto,469011,nalyrakoto,Reflection-based technique for synthesis of structured controllers with guaranteed local convergenceAn Alternative to Standard Nuclear Core Control using a Multi-Objective ApproachHinfinity control under asymptotic tracking constraint and nonproper output weightsA Nonsmooth Newton Method for the Design of State Feedback Stabilizers under Structure ConstraintsMixed Matrix Sign Function/DFT Inversion Method for Solving Parameterdependent Riccati EquationA linear quadratic controller design incorporating a parametric sensitivity constraintRobust active noise control in a car cabin: evaluation of achievable performances with a feedback control schemeInvestigating achievable performances for robust broadband active noise control in an enclosureExact noise cancellation for 1D-acoustic propagation systems,0,
74,79,Remous Aris Koutsiamanis,471114,remousariskoutsiamanis,A training-resistant anomaly detection system,0,
75,81,Bastien Pasdeloup,476995,bastienpasdeloup,Optimal workforce assignment to operations of a paced assembly line,0,
76,82,Vincent Vlaminck,479087,vincentvlaminck,"A Survey of Human Activity Recognition in Smart Homes Based on IoT Sensors Algorithms: Taxonomies\, Challenges\, and Opportunities with Deep LearningHuman Skeleton Detection\, Modeling and Gesture Imitation Learning for a Social PurposeBuilding An Automated Gesture Imitation Game For Teenagers with ASD",0,
77,83,Vincent Castel,479788,vincentcastel,Acc‚l‚ration mat‚rielle pour l'imagerie c‚r‚brale par EEGA Scaling-Less Newton-Raphson Pipelined Implementation for a Fixed-Point Reciprocal OperatorBudget Restricted Incremental Learning with Pre-Trained Convolutional Neural Networks and Binary Associative MemoriesTransfer Incremental Learning Using Data Augmentation,0,
78,84,Xavier Lagrange,491926,xavierlagrange,Air-cooled heat exchanger applied to external rotary kiln wall in forced and natural draftThe impact of global warming and building renovation measures on district heating system techno-economic parameters,3,
79,85,Sary Awad,513149,saryawad,Efficient design of metamaterial absorbers using parametric macromodels,0,
80,86,Mohand Tazerout,519738,mohandtazerout,Optimisation of the aggregation and execution rates for intersecting operation sets: an example of machining process design,0,798003
81,88,R‚mi Douence,521982,remidouence,Analysis of a multicriterial buffer capacity optimization problem for a production line,0,635267
82,89,Yann Busnel,548717,yannbusnel,Dosimetric Validation of a GAN-Based Pseudo-CT Generation for MRI-Only Stereotactic Brain Radiotherapy,0,
83,91,Amer Baghdadi,558605,amerbaghdadi,Blockchain in transport and logistics ? paradigms and transitions,4,
84,92,Arrah-Marie Jo,588534,arrahmariejo,Turbocodes : une technique qui se diffuse,0,
85,93,Christophe Couturier,601571,christophecouturier,Enhancing Learners? Autonomy With E-Portfolios And Open Learner Models: A Literature Review,0,
86,94,Emna Berrich,631995,emnaberrich,"The Abstract Accountability Language: its Syntax\, Semantics and Tools",0,334851
87,95,Pascaline Pre,635267,pascalinepre,Analysis of a multicriterial buffer capacity optimization problem for a production line,0,521982
88,96,Mohamed Tahar Mabrouk,642000,mohamedtaharmabrouk,Distant Event Prediction Based on Sequential Rules,0,11460355
89,97,Pierrick Haurant,642397,pierrickhaurant,Uplink Energy Efficiency Distribution with Aerial Users in Cellular Networks,0,
90,98,Bruno LacarriŠre,645462,brunolacarriere,Sliding Mode Control of Hydrogen Fuel Cell and Ultracapacitor Based Electric Power System: Electric Vehicle Application,7,
91,99,F‚licie Theron,651445,felicietheron,Hardware Implementation of Overlap-Save based Fading Channel Emulator,0,
92,100,Laurence Le Coq,653092,laurencelecoq,Model based estimation of ellipsoidal object using artificial electric sense.A purely model-based approach to object pose and size estimation with electric senseDynamics of continuum and soft robots: a strain parametrization based approach,0,
93,101,Karine E. Borne,658150,borne,Imperceptible reversible watermarking of radiographic images based on quantum noise masking,0,658151
94,102,Yves Andres,658151,yvesandres,Imperceptible reversible watermarking of radiographic images based on quantum noise masking,9,658150
95,103,Val‚rie Hequet,663116,valeriehequet,Recent advances and opportunities in sustainable food supply chain: a model-oriented review,0,
96,105,K. Loubar,684347,loubar,Emergence of robust self-organized undulatory swimming based on local hydrodynamic force sensing,0,
97,106,Albert Subrenat,687675,albertsubrenat,Classification Based on Euclidean Distance Distribution for Blind Identification of Error Correcting Codes in Noncooperative Contexts,0,
98,107,C‚cile Raillard,687957,cecileraillard,Model structure on the universe of all types in interval type theory,0,76131
99,110,Olivier Le Corre,700103,olivierlecorre,Management of acute central retinal artery occlusion: Intravenous thrombolysis is feasible and safe,0,11183586
100,111,Aur‚lie Joubert,701704,aureliejoubert,A Novel Chaos-Based Symmetric Image Encryption Using Bit-Pair Level ProcessSISTER: Spectral-Image Similarity-Based Tensor With Enhanced-Sparsity Reconstruction for Sparse-View Multi-Energy CT,0,300550
101,112,O. Le Corre,705816,lecorre,"Regional brain development analysis through registration using anisotropic similarity\, a constrained affine transformation",0,88488
102,113,V. Martin,710786,martin,Green mobile networks for 5G and beyond,0,302498
103,114,Karine Borne,711566,karineborne,Fast Approximation Algorithms for the One-Warehouse Multi-Retailer Problem Under General Cost Structures and Capacity Constraints,0,455668
104,115,Khaled Loubar,715190,khaledloubar,A Dynamic Inter-cellular Bandwidth Fair Sharing scheduler for future wireless networks,0,
105,117,Denys Grekov,730904,denysgrekov,Space-Ground Coherent Optical Links: Ground Receiver Performance With Adaptive Optics and Digital Phase-Locked Loop,0,
106,119,Eric Dumont,738665,ericdumont,High sensitivity optical biosensor based on polymer materials and using the Vernier effect,0,65458
107,120,Martin V.,753867,,Energy Management and Base Station On/Off Switching in Green Mobile Networks for Offering Ancillary Services,0,
108,121,Jean-Fran‡ois Largeau,754497,jeanfrancoislargeau,Preference of Experience in Image Tone-Mapping: Dataset and Framework for Objective Measures ComparisonData Analysis in Multimedia Quality Assessment: Revisiting the Statistical Tests,0,
109,122,C. Berrou,760848,berrou,ExplAIn: Explanatory artificial intelligence for diabetic retinopathy diagnosisAutomatic screening for ocular anomalies using fundus photographs,0,
110,123,Catherine Douillard,761423,catherinedouillard,Modelling and control of multi-energy systems through multi-prosumer node and economic model predictive control,3,
111,124,Samir Saoudi,762454,samirsaoudi,Three parallel task assignment problems with shared resources,0,
112,125,C. Raillard,777619,raillard,Ship Profile Imaging Using Multipath Backscattering,0,"942911,11588785"
113,126,Bernard Gourvennec,786657,bernardgourvennec,On the passivity of the quasi-static partial element equivalent circuit method,0,
114,127,Erwan Bousse,796521,erwanbousse,SWOT Spatial Scales in the Western Mediterranean Sea Derived from Pseudo-Observations and an Ad Hoc Filtering,0,
115,128,Jean-Marie Mottu,798003,jeanmariemottu,Optimisation of the aggregation and execution rates for intersecting operation sets: an example of machining process design,0,519738
116,129,Gerson Suny‚,800948,gersonsunye,A Variable Sampling Interval Shewhart Control Chart for Monitoring the Coefficient of Variation in Short Production Runs,0,
117,130,Vincent Lebastard,858981,vincentlebastard,Using common weights and efficiency invariance principles for resource allocation and target setting,0,
118,131,Alexandre Goldsztejn,860506,alexandregoldsztejn,ThriftyNets: Convolutional Neural Networks with Tiny Parameter Budget,0,
119,132,Gilles Chabert,861122,gilleschabert,Estimating the robust domain of attraction for non-smooth systems using an interval Lyapunov equationSingularity Conditions for Continuum Parallel RobotsA branch and bound algorithm for quantified quadratic programming,0,
120,134,Charbel Abdel Nour,872370,charbelabdelnour,"EnosStack: A LAMP-like stack for the experimenter,EnosStack: une pile logicielle pour l?exp‚rimentateur bas‚e sur le modŠle de la pile LAMP",0,
121,135,Basel Solaiman,883311,baselsolaiman,Reducing the energy footprint of cellular networks with delay-tolerant users,0,"1322213,99675"
122,136,Lina Fahed,895408,linafahed,Mass Transfer in Multiphasic Gas/Liquid/Liquid Systems. KLa Determination Using the Effectiveness-Number of Transfer Unit MethodComparison of biological H2S removal characteristics between a composite packing material with and without functional microorganismsUtilisation d'un r‚acteur ferm‚ … boucle recirculante pour la d‚termination des capacit‚s de traitement des ‚purateurs d'air par photocatalyseImpact of the treatment of NH 3 emissions from pig farms on greenhouse gas emissions. Quantitative assessment from the literature dataDetermination of the Clean Air Delivery Rate (CADR) of Photocatalytic Oxidation (PCO) Purifiers for Indoor Air Pollutants Using a Closed-Loop Reactor. Part I: Theoretical ConsiderationsDetermination of the Clean Air Delivery Rate (CADR) of PhotoCatalytic Oxidation purifiers for indoor air pollutants using a closed-loop reactor,0,
123,137,Mehrdad Mohammadi,896137,mehrdadmohammadi,Pressure-swing-adsorption of gaseous mixture in isotropic porous medium: Transient 3D modeling and validationPressure-swing-adsorption of gaseous mixture in isotropic porous medium: Numerical sensitivity analysis in CFDGlobal statistical predictor model for characteristic adsorption energy of organic vapors?solid interaction: Use in dynamic process simulationIndexing PXRD Structural Parameters of Graphene Oxide-Doped Metal-Organic FrameworksModeling hydrogen diffusion in hybrid activated carbon-MIL-101(Cr) considering temperature variations and surface loading changesHydrogen adsorption and kinetics in MIL-101(Cr) and hybrid activated carbon-MIL-101(Cr) materials,5,"62300,62300"
124,138,Patrick Meyer,896286,patrickmeyer,General parametric scheme for the online uniform machine scheduling problem with two different speeds,7,
125,142,D. T. Tran,1019905,tran,Support point determination for support structure design in additive manufacturingA constructive solid geometry-based generative design method for additive manufacturing,0,
126,143,Romaric Ludinard,1023248,romaricludinard,Clustering-based solution approach for a capacitated lot-sizing problem on parallel machines with sequence-dependent setups,0,
